43.908048,81.2748
44.89803,82.07259
43.80096,87.60046
39.81121,98.28618
39.74318,98.51736
38.93417,100.45167
36.05701,103.83987
29.56278,106.55278
26.86879,100.22072
25.58474,100.21229
25.03889,102.71833
34.25833,108.92861
38.04139,114.47861
36.79056,118.06333
36.66833,116.99722
36.06488,120.38042
31.30227,120.63132
32.06167,118.77778
30.29365,120.16142
31.22222,121.45806
38.91222,121.60222
40.9906,113.12401
30.58333,114.26667
39.14666667,117.20555556
39.93167,119.58833
25.28194,110.28639
39.9075,116.39723
38.85111,115.49028
29.71139,118.3125
24.47979,118.08187
29.10678,119.64421
27.85,112.9
28.255,112.986
28.45179,117.94287
27.11716,114.97927
29.70475,116.00206
28.68396,115.85306
